,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
378,The Polysyllabic Spree,Nick Hornby,1,Stuff I've Been Reading,4,,20,2004,143,"Nonfiction, Essays, Books About Books, Humor, Memoir, British Literature, Music, Criticism, Literary Criticism, Literature","Babette’s Feast by Isak Dinesen,, Ditte menneskebarn by Martin Andersen Nexø,, Tales of the Jazz Age by F. Scott Fitzgerald,, Our Mutual Friend by Charles Dickens,, Timequake by Kurt Vonnegut Jr.,, Raised in Captivity: Fictional Nonfiction by Chuck Klosterman,, Book Lust: Recommended Reading for Every Mood, Moment, and Reason by Nancy Pearl,, Teen Titans: Beast Boy Loves Raven (Teen Titans, #3) by Kami Garcia,, We Are Inevitable by Gayle Forman,, Cider with Rosie by Laurie Lee,, Browsings: A Year of Reading, Collecting and Living with Books by Michael Dirda,, Greenmantle (Richard Hannay #2) by John Buchan,, Framley Parsonage (Chronicles of Barsetshire #4) by Anthony Trollope,, This Isn't Happening: Radiohead's ""Kid A"" and the Beginning of the 21st Century by Steven Hyden,, Masked Prey (Lucas Davenport #30) by John Sandford,, Trixie and Katya's Guide to Modern Womanhood by Trixie Mattel,, Australian Bushrangers 1788–1880 by Ian Knight,, Armies of the Italian Wars of Unification 1848–70 (2): Papal States, Minor States  Volunteers by Gabriele Esposito",3.73,7035,1464,2868,2133,464,106,651,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327723619l/4260.jpg,"The Polysyllabic Spree is the first title in the Believer Book series, which collects essays by and interviews with some of our favorite authors—George Saunders, Zadie Smith, Michel Houellebecq, Janet Malcolm, Jim Shepard, and Haruki Murakami, to name a few. In his monthly column ""Stuff I've Been Reading"", Nick Hornby lists the books he's purchased and the books he's read"
379,Pomeranian: An Owner's Guide to a Happy Healthy Pet,Happeth A. Jones,,,,August,20,2007,162,,,4.13,8,4,1,3,0,0,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374698926l/2143896.jpg,"""An Owner's Guide to a Happy Healthy Pet"" is the series to turn to when you want a basic reference that's reliable, up-to-date, and complete. These guides feature: Expert authors, plus renowned guest contributors on specialized topicsFull-color photos throughoutBasic information on the breed, species, or topicComplete coverage of care, health, grooming, training, and moreT"
380,The Portable Dorothy Parker,"Dorothy Parker, Marion Meade",,,,May,19,1944,626,"Poetry, Short Stories, Fiction, Classics, Humor, Essays, Literature, 20th Century, Anthologies, Womens","Dorothy Parker: What Fresh Hell Is This? by Marion Meade,, The Complete Poems by Anne Sexton,, Savage Beauty: The Life of Edna St. Vincent Millay by Nancy Milford,, After Midnight by Irmgard Keun,, My Ten Years in a Quandary and How They Grew by Robert Benchley,, The Story of an African Farm by Olive Schreiner,, The Silent Minaret by Ishtiyaq Shukri,, Thirteen Cents by K. Sello Duiker,, Paradise Lost and Other Poems by John Milton,, The Afrikaners: Biography of a People by Hermann Giliomee,, Fires in the Mirror by Anna Deavere Smith,, The Artificial Silk Girl by Irmgard Keun,, Selected Poems by Gwendolyn Brooks,, Reappraisals: Reflections on the Forgotten Twentieth Century by Tony Judt,, Magersfontein, O Magersfontein! by Etienne Leroux,, Country of My Skull: Guilt, Sorrow, and the Limits of Forgiveness in the New South Africa by Antjie Krog,, 'Black Dogs' by Ian McEwan by Claudia Rittig,, The Italian Girl by Iris Murdoch",4.34,11520,5948,3927,1332,221,92,589,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397753538l/44450.jpg,"The second revision in sixty years, this sublime collection ranges over the verse, stories, essays, and journalism of one of the twentieth century's most quotable authors.For this new twenty-first-century edition, devoted admirers can be sure to find their favorite verse and stories. But a variety of fresh material has also been added to create a fuller, more authentic pic"
381,The Portable Nietzsche,Friedrich Nietzsche,,,,June,19,1954,692,"Philosophy, Nonfiction, Classics, Psychology, German Literature, Religion, Literature, 19th Century, Collections, Theory","Nietzsche: Philosopher, Psychologist, Antichrist by Walter Kaufmann,, Plato: Complete Works by Plato,, Phenomenology of Spirit by Georg Wilhelm Friedrich Hegel,, An Essay Concerning Human Understanding by John Locke,, Essays and Aphorisms by Arthur Schopenhauer,, Metaphysics by Aristotle,, Groundwork of the Metaphysics of Morals by Immanuel Kant,, Tractatus Logico-Philosophicus by Ludwig Wittgenstein,, Revolt Against the Modern World by Julius Evola,, The Culture of Critique: An Evolutionary Analysis of Jewish Involvement in Twentieth-Century Intellectual and Political Movements by Kevin B. MacDonald,, Ride the Tiger: A Survival Manual for the Aristocrats of the Soul by Julius Evola,, The World as Will and Representation, Vol. 2 by Arthur Schopenhauer,, The Myth of Sisyphus by Albert Camus,, Philosophical Investigations by Ludwig Wittgenstein,, The Letters of Abélard and Héloïse by Pierre Abélard,, Essential Works of Lenin: ""What Is to Be Done?"" and Other Writings by Vladimir Lenin,, Might is Right by Ragnar Redbeard,, The Ethics of Ambiguity by Simone de Beauvoir",4.21,8983,4238,2938,1395,288,124,212,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407697097l/80447.jpg,"The works of Friedrich Nietzsche have fascinated readers around the world ever since the publication of his first book more than a hundred years ago. As Walter Kaufmann, one of the world's leading authorities on Nietzsche, notes in his introduction, ""Few writers in any age were so full of ideas,"" and few writers have been so consistently misinterpreted. The Portable Nietzs"
382,"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill",Ron Suskind,,,,,20,2004,432,"Politics, Nonfiction, History, Biography, American History, The United States Of America, Memoir, Presidents, War, Economics","Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities by Flora Rheta Schreiber,, The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3) by Michael Connelly,, Maestro: Greenspan's Fed and the American Boom by Bob Woodward,, Fooling Some of the People All of the Time, a Long Short (and Now Complete) Story, Updated with New Epilogue by David Einhorn,, The Age of Turbulence: Adventures in a New World by Alan Greenspan,, A Demon of Our Own Design: Markets, Hedge Funds, and the Perils of Financial Innovation by Richard Bookstaber,, On the Brink: Inside the Race to Stop the Collapse of the Global Financial System by Henry M. Paulson Jr.,, Liar's Poker by Michael   Lewis,, Black Cake by Charmaine Wilkerson,, No Longer at Ease (The African Trilogy, #2) by Chinua Achebe,, The Autobiography of Miss Jane Pittman by Ernest J. Gaines,, A Gathering of Old Men by Ernest J. Gaines,, A Lesson Before Dying by Ernest J. Gaines,, Hell of a Book by Jason Mott,, Against All Enemies by Richard A. Clarke,, Virus: The Co-discoverer of HIV Tracks Its Rampage and Charts the Future by Luc Montagnier,, Gump and Co. (Forrest Gump, #2) by Winston Groom,, Ford County by John Grisham",3.82,1944,510,773,509,102,50,85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327727429l/113720.jpg,"Updated with a new afterword and including a selection of key documents, this is the explosive account of how the Bush administration makes policy on war, taxes, and politics -- its true agenda exposed by a member of the Bush cabinet.This vivid, unfolding narrative is like no other book that has been written about the Bush presidency. At its core are the candid assessments"
383,Pride and Prejudice,Jane Austen,,,,January,28,1813,279,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Novels, Audiobook, Historical Romance, Adult","Jane Eyre by Charlotte Brontë,, The Great Gatsby by F. Scott Fitzgerald,, Twilight (The Twilight Saga, #1) by Stephenie Meyer,, Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling,, Wuthering Heights by Emily Brontë,, Little Women by Louisa May Alcott,, To Kill a Mockingbird by Harper Lee,, The Fault in Our Stars by John Green,, The Hunger Games (The Hunger Games, #1) by Suzanne Collins,, Romeo and Juliet by William Shakespeare,, Animal Farm by George Orwell,, Divergent (Divergent, #1) by Veronica Roth,, 1984 by George Orwell,, Fifty Shades of Grey (Fifty Shades, #1) by E.L. James,, The Diary of a Young Girl by Anne Frank,, The Picture of Dorian Gray by Oscar Wilde,, The Little Prince by Antoine de Saint-Exupéry,, The Catcher in the Rye by J.D. Salinger",4.28,3606088,1968449,977609,438334,132025,89671,87559,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813,Pride and Prejudicehas remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated"
384,Primary Colors: A Novel of Politics,"Anonymous, Joe Klein",,,,January,16,1996,384,"Fiction, Politics, Historical Fiction, Novels, Humor, Contemporary, American, Literature, Political Science, Historical","All Too Human by George  Stephanopoulos,, The Warriors (Kent Family Chronicles, #6) by John Jakes,, The Lawless (Kent Family Chronicles, #7) by John Jakes,, Bullet Park by John Cheever,, Couplehood by Paul Reiser,, The Titans (Kent Family Chronicles, #5) by John Jakes,, The Furies (Kent Family Chronicles, #4) by John Jakes,, Prophet by Frank E. Peretti,, The Quantum Labyrinth: How Richard Feynman and John Wheeler Revolutionized Time and Reality by Paul Halpern,, The Tooth Fairy's Tummy Ache by Lori Orlinsky,, Have You Ever Wondered What You Will Be? by Junia Wonders,, Troilus and Criseyde by Geoffrey Chaucer,, Keeping Up with the Kalashnikovs by Ross O\'Carroll-Kelly,, The Origins of the Urban Crisis: Race and Inequality in Postwar Detroit by Thomas J. Sugrue,, The Cult of the Presidency: America's Dangerous Devotion to Executive Power by Gene Healy,, Red a Baseball Life by Red Schoendienst,, My Dad, My Rock by Victor Dias de Oliveira Santos,, Max Perkins: Editor of Genius by A. Scott Berg",3.61,5732,987,2176,2022,447,100,341,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923112l/261444.jpg,"A brilliant and penetrating look behind the scenes of modern American politics, Primary Colors is a funny, wise, and dramatic story with characters and events that resemble some familiar, real-life figures. When a former congressional aide becomes part of the staff of the governor of a small Southern state, he watches in horror, admiration, and amazement, as the governor m"
385,The Princess Bride,William Goldman,,,,September,1,1973,456,"Fantasy, Fiction, Classics, Romance, Humor, Young Adult, Adventure, Comedy, Science Fiction Fantasy, Fairy Tales","The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1) by C.S. Lewis,, The Hobbit by J.R.R. Tolkien,, Eragon (The Inheritance Cycle, #1) by Christopher Paolini,, The Lightning Thief (Percy Jackson and the Olympians, #1) by Rick Riordan,, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch by Terry Pratchett,, The Golden Compass (His Dark Materials, #1) by Philip Pullman,, Stardust by Neil Gaiman,, A Wrinkle in Time (Time Quintet, #1) by Madeleine L\'Engle,, The Fellowship of the Ring (The Lord of the Rings, #1) by J.R.R. Tolkien,, The Hunger Games (The Hunger Games, #1) by Suzanne Collins,, The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams,, The Giver (The Giver, #1) by Lois Lowry,, Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling,, Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1) by Ransom Riggs,, Twilight (The Twilight Saga, #1) by Stephenie Meyer,, As You Wish: Inconceivable Tales from the Making of The Princess Bride by Cary Elwes,, The Color of Magic (Discworld, #1; Rincewind, #1) by Terry Pratchett,, A Game of Thrones (A Song of Ice and Fire, #1) by George R.R. Martin",4.26,842475,437437,248293,111497,28187,17061,22688,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636l/21787.jpg,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic,The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat"
386,Property,Valerie Martin,,,,January,1,2003,210,"Historical Fiction, Fiction, Historical, African American, Literary Fiction, Adult, Adult Fiction, Race, Novels, The United States Of America","When I Lived in Modern Times by Linda Grant,, The Idea of Perfection by Kate Grenville,, Larry's Party by Carol Shields,, A Crime in the Neighborhood by Suzanne Berne,, A Spell of Winter by Helen Dunmore,, Wench by Dolen Perkins-Valdez,, May We Be Forgiven by A.M. Homes,, The Road Home by Rose Tremain,, The Glorious Heresies by Lisa McInerney,, Small Island by Andrea Levy,, Remote Sympathy by Catherine Chidgey,, Fugitive Pieces by Anne Michaels,, How to Be Both by Ali Smith,, Weird Fucks by Lynne Tillman,, A God in Every Stone by Kamila Shamsie,, Bound (Satucket #2) by Sally Cabot Gunning,, Those Who Disappeared by Kevin Wignall,, I Reside Here by Michael Richan",3.69,5274,1126,2066,1546,413,123,613,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529614373l/40605609._SY475_.jpg,"Valerie Martin’sPropertydelivers an eerily mesmerizing inquiry into slavery’s venomous effects on the owner and the owned. The year is 1828, the setting a Louisiana sugar plantation where Manon Gaudet, pretty, bitterly intelligent, and monstrously self-absorbed, seethes under the dominion of her boorish husband. In particular his relationship with her slave Sarah, who is"
387,The Pump House Gang,Tom Wolfe,,,,August,19,1968,304,"Nonfiction, Essays, Journalism, History, Short Stories, Literature, 20th Century, Classics, College, United States","Paradais by Fernanda Melchor,,  Maskinflickans testamente by Ida Linde,, Där var du, större än bokstäverna som bildar ditt namn : Cristinaboken by Hanna Rajs Lara,, Räkneboken by Ida Linde,, The Bounty Mutiny by William Bligh,, Clark and Division by Naomi Hirahara,, På glid by Moa Romanova,, Röd melankoli by Helena Boberg,, Dröm, baby, dröm by Jenny Tunedal,, Karons tunnelbana by Ida Linde,, Sympati för djävulen by Johan Heltne,, Ingenstans mitt segel by Ingela Strandberg,, Brief Candle in the Dark: My Life in Science by Richard Dawkins,, Gastroanomalies: Questionable Culinary Creations from the Golden Age of American Cookery by James Lileks,, Magnificat by Linnea Axelsson,, Our Kind of Traitor by John le Carré,, Night Train by A.L. Snijders,, Backlashen : Metoo och revolutionen som stoppades by Irena Pozar",3.58,1138,175,448,399,92,24,63,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388358654l/361773.jpg,"Tom Wolfe's second collection (1968) takes it title from a redoubtable surfing elite, many of whom abandoned the beach for the psychedelic indoor sports of the late sixties. Wolfe here continues his fieldwork among noble savages, from La Jolla to London."
388,Punk: The Definitive Record of a Revolution,"Stephen Colegrave, Chris Sullivan",,,,,20,2001,400,"Music, Nonfiction, Punk, Rock N Roll, Photography, History, Biography","London: The Biography by Peter Ackroyd,, Flights by Olga Tokarczuk,, A Christmas Carol / The Chimes / The Cricket on the Hearth by Charles Dickens,, The Weird: A Compendium of Strange and Dark Stories by Jeff VanderMeer,, Dreyer's English: An Utterly Correct Guide to Clarity and Style by Benjamin Dreyer,, Save the Cat! Writes a Novel by Jessica Brody,, Black and British: A Forgotten History by David Olusoga,, Diaries 1969-1979: The Python Years  (Palin Diaries, #1) by Michael Palin,, Alice in Wonderland: The Complete Collection by Lewis Carroll,, Save the Cat: The Last Book on Screenwriting You'll Ever Need by Blake Snyder,, The Sound and the Fury by William Faulkner,, Harriet the Spy by Louise Fitzhugh,, Lust and Other Stories by Susan Minot,, Timequake by Kurt Vonnegut Jr.,, The Snowman (Point Horror, #21) by R.L. Stine,, Silent Night 2 (Silent Night, #2: Fear Street Super Chiller, #5) by R.L. Stine,, The Best Halloween Ever (The Herdmans #3) by Barbara Robinson,, Summer of My German Soldier (Summer of My German Soldier, #1) by Bette Greene",3.96,439,148,165,95,23,8,20,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392061954l/235095.jpg,"Recreating the complete story of the punk phenomenon — including where it came from and what it turned into — Punk is a massive and visually stunning record of five years that changed the world: from 1975 to 1979. Collecting the testimony of more than 260 artists, record producers, designers, and journalists — including John Cale, Debbie Harry, Joe Strummer, Maureen Tucker"
389,The Pursuit of Love & Love in a Cold Climate,Nancy Mitford,,,,January,1,1974,468,"Fiction, Classics, Historical Fiction, Romance, British Literature, Humor, 20th Century, Novels, Historical, Literature","Hons and Rebels by Jessica Mitford,, The Sisters: The Saga of the Mitford Family by Mary S. Lovell,, The Mitfords: Letters between Six Sisters by Charlotte Mosley,, Capote's Women: A True Story of Love, Betrayal, and a Swan Song for an Era by Laurence Leamer,, Inappropriation by Lexi Freiman,, The Mangan Inheritance by Brian Moore,, The Body in Griffith Park (Anna Blanc Mysteries, #3) by Jennifer Kincheloe,, The Bookseller's Secret by Michelle Gable,, Lisa and David by Theodore Isaac Rubin,, How to Shame the Devil by Ros Thomas,, The Diana Chronicles by Tina  Brown,, The Mayfair Bookshop by Eliza Knight,, Assembly by Natasha   Brown,, The Library of Legends by Janie Chang,, False Security (Death Before Dragons #5) by Lindsay Buroker,, Der Räuber Hotzenplotz (Hotzenplotz, #1) by Otfried Preußler,, Persuasion by Jane Austen by Judy Simons,, Miss Dior: A Story of Courage and Couture by Justine Picardie",4.10,5637,2216,2081,1101,185,54,494,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388232144l/50725.jpg,"Mitford's most famous novels, ""The Pursuit of Love"" and ""Love in a Cold Climate,"" satirize British aristocracy in the '20s and '30s through the amorous adventures of the Radletts, an exuberantly unconventional family closely modeled on Mitford's own."
390,Pushkin: A Biography,T.J. Binyon,,,,,20,2002,784,"Biography, Nonfiction, History, Russia, Russian Literature, Literature, Poetry, Biography Memoir, Literary Criticism","The Devil's Breath (Dr. Thomas Silkstone #3) by Tessa Harris,, The Pure in Heart (Simon Serrailler #2) by Susan         Hill,, Tolstoy by Henri Troyat,, The Dead Shall Not Rest (Dr. Thomas Silkstone #2) by Tessa Harris,, The Risk of Darkness (Simon Serrailler #3) by Susan         Hill,, The Anatomist's Apprentice (Dr. Thomas Silkstone #1) by Tessa Harris,, The Gates of Europe: A History of Ukraine by Serhii Plokhy,, The Strange Affair of Spring Heeled Jack (Burton & Swinburne, #1) by Mark Hodder,, Russian History: A Very Short Introduction by Geoffrey Hosking,, The Curious Case of the Clockwork Man (Burton & Swinburne, #2) by Mark Hodder,, The Gododdin: Lament for the Fallen by Gillian Clarke,, The Making of Modern Britain by Andrew Marr,, Expedition to the Mountains of the Moon (Burton & Swinburne, #3) by Mark Hodder,, Pompeii by Robert   Harris,, The Secret of Abdu El-Yezdi (Burton & Swinburne, #4) by Mark Hodder,, A Short History of Russia: How the World's Largest Country Invented Itself, from the Pagans to Putin by Mark Galeotti,, The Janus Stone (Ruth Galloway, #2) by Elly Griffiths,, The Desolations of Devil's Acre (Miss Peregrine's Peculiar Children, #6) by Ransom Riggs",3.80,358,134,105,56,41,22,17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320457613l/111723.jpg,"In the course of his short, dramatic life, Aleksandr Pushkin gave Russia not only its greatest poetry–including the novel-in-verseEugene Onegin–but a new literary language. He also gave it a figure of enduring romantic allure–fiery, restless, extravagant, a prodigal gambler and inveterate seducer of women. Having forged a dazzling, controversial career that cost him the e"
391,Pygmalion,George Bernard Shaw,,,,,19,1912,82,"Classics, Plays, Fiction, Drama, Theatre, School, Literature, Romance, British Literature, Read For School","The Importance of Being Earnest by Oscar Wilde,, The Cenci by Percy Bysshe Shelley,, Death Leaves a Shadow (Marlowe Black Mystery Book 2) by Gabriel F.W. Koch,, A Doll's House by Henrik Ibsen,, Waiting for Godot by Samuel Beckett,, Krysař by Viktor Dyk,, Look Back in Anger by John Osborne,, My Fair Lady by Alan Jay Lerner,, The Glass Menagerie by Tennessee Williams,, Death of a Salesman by Arthur  Miller,, The Franklin's Prologue and Tale by Geoffrey Chaucer,, Top Girls by Caryl Churchill,, Kulička by Guy de Maupassant,, A Streetcar Named Desire by Tennessee Williams,, Riders to the Sea by J.M. Synge,, Dr. Faustus by Christopher Marlowe,, The White Disease by Karel Čapek,, Othello by William Shakespeare",3.89,95561,27832,37305,23990,5153,1281,2857,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453757285l/7714._SY475_.jpg,"One of George Bernard Shaw's best-known plays, Pygmalion was a rousing success on the London and New York stages, an entertaining motion picture and a great hit with its musical version, My Fair Lady. An updated and considerably revised version of the ancient Greek legend of Pygmalion and Galatea, the 20th-century story pokes fun at the antiquated British class system.In"
392,Quattrocento,James N. McKean,,,,November,10,1999,307,"Historical Fiction, Fiction, Time Travel, Art, Italy, Romance, Science Fiction, Fantasy, Historical, Contemporary","Slander: Liberal Lies About the American Right by Ann Coulter,, In Trump We Trust: E Pluribus Awesome! by Ann Coulter,, High Crimes and Misdemeanors: The Case Against Bill Clinton by Ann Coulter,, Resistance Is Futile!: How the Trump-Hating Left Lost Its Collective Mind by Ann Coulter,, Mugged: Racial Demagoguery from the Seventies to Obama by Ann Coulter,, Mistrial: An Inside Look at How the Criminal Justice System Works...and Sometimes Doesn't by Mark Geragos,, ¡Adios, America!: The Left's Plan to Turn Our Country into a Third World Hellhole by Ann Coulter,, Never Trust a Liberal Over Three --Especially a Republican by Ann Coulter,, How to Talk to a Liberal (If You Must): The World According to Ann Coulter by Ann Coulter,, Demonic: How the Liberal Mob is Endangering America by Ann Coulter,, Godless: The Church of Liberalism by Ann Coulter,, Guilty: Liberal ""Victims"" and Their Assault on America by Ann Coulter,, If Democrats Had Any Brains, They'd Be Republicans by Ann Coulter,, Treason: Liberal Treachery from the Cold War to the War on Terrorism by Ann Coulter,, Plants vs. Zombies Volume 11: War and Peas by Paul Tobin,, Instant Loss on a Budget: Super-Affordable Recipes for the Health-Conscious Cook by Brittany  Williams,, Samurai Jack: Tales of the Wandering Warrior by Jim Zub,, Goldie Vance Vol. 2 by Hope Larson",3.29,629,138,145,173,107,66,43,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320483202l/733957.jpg,"Matt O’Brien, an assistant curator and art restorer at the Metropolitan Museum of Art, has always been passionate about the Italian Renaissance. But when he discovers a long-neglected portrait of a beautiful woman among the museum’s miles of storage bins, he becomes obsessed--and not only because he suspects that the painting is by Leonardo da Vinci. Something about the my"
393,A Quiet Storm,Rachel Howzell Hall,,,,September,10,2002,256,"Fiction, Contemporary, Mental Health, Thriller, Psychology, Literature, African American, Adult Fiction, Mental Illness, Mystery","Caste: The Origins of Our Discontents by Isabel Wilkerson,, Changing the Rules (Richter, #1) by Catherine Bybee,, Blackout by Dhonielle Clayton,, The Other Black Girl by Zakiya Dalila Harris,, The Hollows by Mark  Edwards,, Blacktop Wasteland by S.A. Cosby,, Hench by Natalie Zina Walschots,, Sacred Time by Ursula Hegi,, Say Her Name by Dreda Say Mitchell,, The Sculptor in the Sky by Teal Swan,, Ghost Stories 2 by M.R. James,, Ghost Stories, Volume One by M.R. James,, Paladin's Strength (The Saint of Steel, #2) by T. Kingfisher,, Anthropocene Rag by Alexander C. Irvine,, What Abigail Did That Summer (Rivers of London, #5.3) by Ben Aaronovitch,, Quiet in Her Bones by Nalini Singh,, The Return of the Soldier by Rebecca West,, A Sinister Quartet by Mike Allen",3.70,613,189,169,167,57,31,51,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404632016l/199157.jpg,"In this vividly written, suspense-driven novel, the secrets shared between two sisters erupt in tragedy.Rikki Moore was always the star of the family, easily outshining her younger sister, Stacy, at every turn. Smart, kind, and beautiful, it was no surprise when Rikki met and married the perfect man -- pediatrician Matt Dresden. Her students at 59th Street Elementary Sch"
394,Quiller Bamboo,Adam Hall,15,Quiller,19,,19,1991,320,"Thriller, Espionage, Fiction, Spy Thriller","The 9th Judgment  (Women's Murder Club, #9) by James Patterson,, Wildlife in America by Peter Matthiessen,, The Medici Secret by Michael  White,, 1356 (The Grail Quest, #4) by Bernard Cornwell,, Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy #1) by John le Carré,, Set in Darkness (Inspector Rebus, #11) by Ian Rankin,, Come, Tell Me How You Live by Agatha Christie Mallowan,, Strip Jack (Inspector Rebus, #4) by Ian Rankin,, Map of Bones (Sigma Force, #2) by James Rollins,, Agents of Innocence by David Ignatius,, Term Limits by Vince Flynn,, The Round House by Louise Erdrich,, The Quantum Spy by David Ignatius,, The Quiet American by Graham Greene,, The Change: Women, Ageing, and the Menopause by Germaine Greer,, The Skull Mantra (Inspector Shan, #1) by Eliot Pattison,, The Spartacus War by Barry S. Strauss,, Antony and Cleopatra by William Shakespeare",4.16,180,61,88,30,1,0,9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350860078l/947334.jpg,"Summoned late at night to the Bureau, Quiller attends a secret conference with the foreign secretary and a surprise defector: the Chinese ambassador to Britain. Minutes later, shots ring out and the ambassador's body is flung out onto the sidewalk of a deserted London street, riddled with bullets.Searching for clues, Quiller flies to Calcutta to meet Sojourner, a key ally"
395,Rapunzel,"Jacob Grimm, Wilhelm Grimm",,,,,18,1812,32,"Classics, Fantasy, Short Stories, Fairy Tales, Childrens, Fiction, Romance, German Literature, Literature, Picture Books","Little Red Riding Hood by Charles Perrault,, The Princess and the Pea by Hans Christian Andersen,, Snow White by Paul Heins,, The Little Match Girl by Hans Christian Andersen,, Cinderella, or The Little Glass Slipper by Charles Perrault,, La Barbe Bleue by Charles Perrault,, Thumbelina by Hans Christian Andersen,, The Princess and the Pea by Janet Stevens,, Puss in Boots by Charles Perrault,, The Little Mermaid by Hans Christian Andersen,, The Emperor's New Clothes by Hans Christian Andersen,, Sleeping Beauty: Classics Illustrated by Charles Perrault,, The Steadfast Tin Soldier by Hans Christian Andersen,, The Twelve Dancing Princesses by Diane Muldrow,, Jorinda and Joringel (Troll's Best Loved Classics) by David Cutts,, Beauty and the Beast by Jeanne-Marie Leprince de Beaumont,, The Ugly Duckling by Hans Christian Andersen,, The Snow Queen by Hans Christian Andersen",3.75,2236,603,702,732,162,37,188,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438005607l/17160901._SX318_.jpg,Short story
396,The Razor's Edge,W. Somerset Maugham,,,,,19,1944,314,"Fiction, Classics, Literature, Novels, Philosophy, British Literature, Literary Fiction, Historical Fiction, 20th Century, France","Slow Days, Fast Company: The World, the Flesh, and L.A.: Tales by Eve Babitz,, Selected Poems by Sergei Yesenin,, The City of Mist: Stories by Carlos Ruiz Zafón,, East of Eden by John Steinbeck,, Watt by Samuel Beckett,, Shoko's Smile: Stories by Choi Eunyoung,, رشد by علی صفایی حائری,, جنگ و صلح جلد اول و دوم by Leo Tolstoy,, Os Loucos da Rua Mazur by João Pinto Coelho,, L'Attaque du moulin by Émile Zola,, BENGAL 2021: An Election Diary by Deep Halder,, This Is Pleasure: A Story by Mary Gaitskill,, Black Swans by Eve Babitz",4.19,41475,17854,15667,6370,1268,316,3443,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925123l/31196.jpg,"Larry Darrell is a young American in search of the absolute. The progress of this spiritual odyssey involves him with some of Maugham's most brillant characters - his fiancee Isabel, whose choice between love and wealth have lifelong repercussions, and Elliot Templeton, her uncle, a classic expatriate American snob. The most ambitious of Maugham's novels, this is also one"
